"Regulator_ENSG","Target_ENSG","MI","pvalue","Target_symbol","Regulator_symbol"
"ENSG00000103510","ENSG00000256599",0.394902132450431,0,"AC020663.1","KAT8"
"ENSG00000196363","ENSG00000173065",0.562701290796313,0,"FAM222B","WDR5"
"ENSG00000120071","ENSG00000122966",0.46205200976557,0,"CIT","KANSL1"
"ENSG00000196363","ENSG00000125386",0.456713390008965,3.30750093979759e-10,"FAM193A","WDR5"
"ENSG00000196363","ENSG00000173064",0.552976725660066,0,"HECTD4","WDR5"
"ENSG00000187778","ENSG00000100216",0.551678972964421,0,"TOMM22","MCRS1"
"ENSG00000172534","ENSG00000177963",0.441698074566374,0,"RIC8A","HCFC1"
"ENSG00000187778","ENSG00000225234",0.395077736453145,0,"TRAPPC12-AS1","MCRS1"
"ENSG00000196363","ENSG00000198356",0.536567234062951,0,"GET3","WDR5"
"ENSG00000196363","ENSG00000197021",0.417511525000869,0,"EOLA2","WDR5"
"ENSG00000187778","ENSG00000100207",0.447200917791321,0,"TCF20","MCRS1"
"ENSG00000187778","ENSG00000042753",0.676253334610811,0,"AP2S1","MCRS1"
"ENSG00000103510","ENSG00000071462",0.42152204031346,0,"BUD23","KAT8"
"ENSG00000103510","ENSG00000105298",0.378878419176749,0,"CACTIN","KAT8"
"ENSG00000187778","ENSG00000102858",0.496072282339028,0,"MGRN1","MCRS1"
"ENSG00000196363","ENSG00000100092",0.403778072274968,0,"SH3BP1","WDR5"
"ENSG00000172534","ENSG00000140691",0.468335388181549,0,"ARMC5","HCFC1"
"ENSG00000103510","ENSG00000143543",0.323401888364562,5.74569003761738e-05,"JTB","KAT8"
"ENSG00000172534","ENSG00000176619",0.440826637951062,0,"LMNB2","HCFC1"
"ENSG00000196363","ENSG00000137343",0.418132868269231,0,"ATAT1","WDR5"
"ENSG00000196363","ENSG00000149328",0.4503313505142,0,"GLB1L2","WDR5"
"ENSG00000196363","ENSG00000176946",0.457899724445683,0,"THAP4","WDR5"
"ENSG00000187778","ENSG00000163832",0.413416435191563,0,"ELP6","MCRS1"
"ENSG00000196363","ENSG00000150316",0.346347609675656,2.80648304595843e-09,"CWC15","WDR5"
"ENSG00000196363","ENSG00000140995",0.687794932697734,0,"DEF8","WDR5"
"ENSG00000172534","ENSG00000141956",0.439349317114328,0,"PRDM15","HCFC1"
"ENSG00000196363","ENSG00000151640",0.693844617993074,0,"DPYSL4","WDR5"
"ENSG00000196363","ENSG00000246451",0.409923031745563,0,"KLC1-AS1","WDR5"
"ENSG00000172534","ENSG00000140632",0.441601166887912,0,"GLYR1","HCFC1"
"ENSG00000172534","ENSG00000139641",0.403297574128629,0,"ESYT1","HCFC1"
"ENSG00000187778","ENSG00000262222",0.400779195121757,0,"RP11-876N24.4","MCRS1"
"ENSG00000103510","ENSG00000107819",0.409815166556857,0,"SFXN3","KAT8"
"ENSG00000147162","ENSG00000224078",0.489764993643076,0,"SNHG14","OGT"
