Regulator	Target	MI	pvalue
X3656855	X3608398	0.3521142001569643	0.0
X3453882	X3334415	0.36284174877029296	2.511768570911954E-12
X4026956	X3333116	0.41674248505351486	0.0
X3760137	X3723687	0.39475603370651713	0.0
X4026956	X3838724	0.4993456633319015	0.0
X3760137	X3701433	0.3586126498072423	0.0
X4026956	X3646277	0.43305817907683813	0.0
X3656855	X3573229	0.35915068784859644	0.0
X3453882	X3662924	0.3707778355768086	0.0
X3760137	X3273251	0.37857246515759746	0.0
X4026956	X3358538	0.36405818390812156	0.0
X3453882	X3707352	0.37459274370000284	0.0
X3453882	X3822122	0.3615533718486134	0.021691387240863946
X4026956	X3294816	0.35856236603780156	0.0
X3760137	X3226041	0.37299595111570144	0.0
X3656855	X3865301	0.3738742639082635	0.0
X4026956	X3656418	0.4220772513845098	0.0
X3656855	X3845708	0.4037117394568842	0.0
X4026956	X3414351	0.36701046324516023	0.0
X4026956	X3807753	0.407119388380434	0.0
X4026956	X4053641	0.3893274811582658	0.0
X3760137	X3961496	0.3686877953323803	0.0
X3760137	X3740264	0.375559404794354	0.0
X3453882	X3822195	0.37020209146685457	0.0
X4026956	X3670772	0.4350213169626844	0.0
X3760137	X3529649	0.3728466605526432	0.0
X4026956	X3371544	0.37300531521557634	0.0
X4026956	X3990616	0.3794819283791621	0.0
X4026956	X3944778	0.40184794944397556	0.0
X3453882	X3861738	0.38069948689126404	0.0
X3760137	X3377044	0.41957097838203194	0.0
X4026956	X4007765	0.37639393100171464	0.0
X3453882	X3855071	0.402072852996151	0.0
X4026956	X3913600	0.3693754476082181	0.0
X3453882	X3735447	0.3633148069191072	0.0
X4026956	X3730731	0.3798616851307271	0.0
X4026956	X3336378	0.36077774378963223	0.0
X4026956	X3832760	0.35225161093889035	0.0
X3760137	X3656418	0.37918284824803006	0.0
X3453882	X3633403	0.3689667258432911	3.6613261045204126E-7
X3760137	X3944046	0.36753261252451996	0.0
X3453882	X3863547	0.36869455898400205	0.0
X4026956	X3551303	0.37674885765385135	0.0
X3760137	X3720636	0.3555252352976138	0.0
X3760137	X3844897	0.36683131403973734	0.0
X4026956	X3865673	0.3803026477681191	1.8938553818514947E-5
X3453882	X3867092	0.3779365287251335	0.0
X3453882	X3815014	0.35769645482775697	1.0868031380439902E-4
X3760137	X3345403	0.3838716930178452	0.0
X4026956	X3153428	0.36754825002225977	0.0
X3760137	X3928866	0.3641086515333317	0.0
X4026956	X3666649	0.3570818420858815	0.0
X3760137	X3721926	0.3573884985471391	0.0
X4026956	X3759540	0.36801828987556756	0.0
X4026956	X3957260	0.39964129029557544	0.0
X4026956	X3721851	0.3848777525444111	0.0
X4026956	X3696454	0.3501239162432652	0.0
X3760137	X3374746	0.36680148439205856	0.0
X3760137	X3655172	0.36786280189911325	0.0
X3453882	X3129465	0.3719032072169378	0.0
X3453882	X3959613	0.36884825023175405	0.0
X3760137	X3512719	0.36973773649726116	0.0
X3760137	X3946762	0.36009402174734617	1.4352963262354024E-12
X3656855	X3675266	0.36379645525988125	0.0
X4026956	X3845998	0.37869988625386425	0.0
X3656855	X3847538	0.37928922379870816	0.0
X4026956	X3016262	0.3551108799514249	0.0
X4026956	X3854000	0.3767562191546977	0.0
X3760137	X3873389	0.36226463414770244	0.0
X3760137	X3830205	0.36328657190227837	1.794120407794253E-12
X4026956	X3748026	0.3779938291231211	0.0
X3453882	X3845708	0.3853316816937109	0.0
X4026956	X3748022	0.4091068922214225	0.0
X4026956	X3536663	0.354947183946345	0.0
X4026956	X3748020	0.3536792277302903	0.0
X3760137	X3830216	0.36514833297955474	0.0
X4026956	X3709327	0.36801116725848787	0.0
X4026956	X3763656	0.3791650694350011	0.0
X4026956	X3580769	0.38217530759136886	0.0
X4026956	X4011889	0.3846401472422294	0.0
X3760137	X3230105	0.3580857411723133	0.0
X3760137	X3865715	0.3637888650401827	0.0
X3656855	X3482977	0.3550025756904902	0.0
X4026956	X3601229	0.3672149940763202	0.0
X4026956	X3545564	0.36431144508013497	0.0
X3760137	X3442427	0.371444510727221	0.0
X4026956	X3724931	0.38692724542708246	0.0
X4026956	X3821159	0.40375727635766867	0.0
X3656855	X3833757	0.3569538189189594	0.0
X4026956	X3762380	0.376912816760067	0.0
X3453882	X3758078	0.3694338714527113	0.0
X4026956	X3838845	0.39695360853376943	0.0
X4026956	X2903071	0.35234131302639926	0.0
X4026956	X3435192	0.3793647877144321	0.0
